initiative_id,title,description,portfolio_category,initiative_type,strategic_objective,business_owner,delivery_owner,sponsor,lifecycle_stage,shaping_stage,priority,rag_status,confidence_level,start_date,target_end_date,last_update_date,progress_pct,budget,actual_cost,forecast_cost,expected_benefit,benefits_status,benefits_description,risk_exposure,dependency_ids,decision_required,next_milestone,next_milestone_date,data_quality_status,executive_summary,source_system_reference
INIT-016,Technology - API Gateway Modernisation Phase 2,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Project,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Active,Completed,High,RED,LOW,2025-01-15,2025-11-30,2025-03-20,36.0,2000000.0,2560000.0,2700000.0,3600000.0,ON_TRACK,Expected efficiency gains and risk reduction from API Gateway Modernisation.,HIGH,INIT-015,True,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-016 (Technology - API Gateway Modernisation Phase 2) is currently Active with RED status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-016
INIT-017,Data - Enterprise Metadata Catalog Phase 3,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Programme,Scale Data Enterprise Capabilities,Director of Data Operations,Lead Delivery Mgr (Data),Exec Sponsor (Data),Active,Completed,High,AMBER,MEDIUM,2025-01-15,2025-11-30,2025-03-20,67.0,1480000.0,1628000.0,1657600.0,2664000.0,ON_TRACK,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,MEDIUM,INIT-016,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-017 (Data - Enterprise Metadata Catalog Phase 3) is currently Active with AMBER status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-017
INIT-018,AI - Automated Document Processing Phase 1,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Project,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,58.0,1530000.0,843030.0,1530000.0,2754000.0,ON_TRACK,Expected efficiency gains and risk reduction from Automated Document Processing.,LOW,INIT-017,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-018 (AI - Automated Document Processing Phase 1) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-018
INIT-019,Cyber Security - Vulnerability Management System Phase 2,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Programme,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Active,Completed,Medium,GREEN,HIGH,2025-12-01,2025-06-30,2025-03-20,59.0,1565000.0,877182.5,1565000.0,2817000.0,ON_TRACK,Expected efficiency gains and risk reduction from Vulnerability Management System.,LOW,INIT-018,False,Production Deployment,2025-06-30,EXCEPTIONS_FOUND,Initiative INIT-019 (Cyber Security - Vulnerability Management System Phase 2) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-019
INIT-020,Fraud Prevention - Card Fraud Scoring Model Phase 3,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Project,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,60.0,1600000.0,912000.0,1600000.0,2880000.0,ON_TRACK,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,LOW,INIT-019,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-020 (Fraud Prevention - Card Fraud Scoring Model Phase 3) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-020
INIT-021,Technology - API Gateway Modernisation Phase 1,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Programme,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Active,Completed,High,RED,LOW,2025-01-15,2025-11-30,2025-03-20,41.0,2250000.0,2880000.0,3037500.0,4050000.0,ON_TRACK,Expected efficiency gains and risk reduction from API Gateway Modernisation.,HIGH,INIT-020,True,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-021 (Technology - API Gateway Modernisation Phase 1) is currently Active with RED status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-021
INIT-022,Data - Enterprise Metadata Catalog Phase 2,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Project,Scale Data Enterprise Capabilities,Director of Data Operations,Lead Delivery Mgr (Data),Exec Sponsor (Data),Active,Completed,High,AMBER,MEDIUM,2025-01-15,2025-11-30,2025-03-20,52.0,1680000.0,1848000.0,1881600.0,3024000.0,ON_TRACK,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,MEDIUM,INIT-021,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-022 (Data - Enterprise Metadata Catalog Phase 2) is currently Active with AMBER status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-022
INIT-023,AI - Automated Document Processing Phase 3,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Programme,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,63.0,1705000.0,1020442.5,1705000.0,3069000.0,ON_TRACK,Expected efficiency gains and risk reduction from Automated Document Processing.,LOW,INIT-022,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-023 (AI - Automated Document Processing Phase 3) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-023
INIT-024,Cyber Security - Vulnerability Management System Phase 1,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Project,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-01-10,64.0,1740000.0,1057920.0,1740000.0,3132000.0,ON_TRACK,Expected efficiency gains and risk reduction from Vulnerability Management System.,LOW,INIT-023,False,Production Deployment,2025-06-30,EXCEPTIONS_FOUND,Initiative INIT-024 (Cyber Security - Vulnerability Management System Phase 1) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-024
INIT-025,Fraud Prevention - Card Fraud Scoring Model Phase 2,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Programme,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,65.0,1775000.0,1096062.5,1775000.0,3195000.0,ON_TRACK,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,LOW,INIT-024,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-025 (Fraud Prevention - Card Fraud Scoring Model Phase 2) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-025
INIT-026,Technology - API Gateway Modernisation Phase 3,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Project,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Active,Completed,High,AMBER,MEDIUM,2025-01-15,2025-11-30,2025-03-20,56.0,1840000.0,2024000.0,2060800.0,3312000.0,ON_TRACK,Expected efficiency gains and risk reduction from API Gateway Modernisation.,MEDIUM,INIT-025,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-026 (Technology - API Gateway Modernisation Phase 3) is currently Active with AMBER status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-026
INIT-027,Data - Enterprise Metadata Catalog Phase 1,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Programme,Scale Data Enterprise Capabilities,Director of Data Operations,Lead Delivery Mgr (Data),Exec Sponsor (Data),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,67.0,1845000.0,1174342.5,1845000.0,3321000.0,ON_TRACK,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,LOW,INIT-026,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-027 (Data - Enterprise Metadata Catalog Phase 1) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-027
INIT-028,AI - Automated Document Processing Phase 2,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Project,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,68.0,1880000.0,1214480.0,1880000.0,3384000.0,ON_TRACK,Expected efficiency gains and risk reduction from Automated Document Processing.,LOW,INIT-027,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-028 (AI - Automated Document Processing Phase 2) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-028
INIT-029,Cyber Security - Vulnerability Management System Phase 3,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Programme,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,69.0,1915000.0,1255282.5,1915000.0,3447000.0,ON_TRACK,Expected efficiency gains and risk reduction from Vulnerability Management System.,LOW,INIT-028,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-029 (Cyber Security - Vulnerability Management System Phase 3) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-029
INIT-030,Fraud Prevention - Card Fraud Scoring Model Phase 1,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Project,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,70.0,1950000.0,1296750.0,1950000.0,3510000.0,ON_TRACK,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,LOW,INIT-029,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-030 (Fraud Prevention - Card Fraud Scoring Model Phase 1) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-030
INIT-031,Technology - API Gateway Modernisation Phase 2,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Programme,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Active,Completed,High,AMBER,MEDIUM,2025-01-15,2025-11-30,2025-03-20,61.0,2040000.0,2244000.0,2284800.0,3672000.0,ON_TRACK,Expected efficiency gains and risk reduction from API Gateway Modernisation.,MEDIUM,INIT-030,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-031 (Technology - API Gateway Modernisation Phase 2) is currently Active with AMBER status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-031
INIT-032,Data - Enterprise Metadata Catalog Phase 3,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Project,Scale Data Enterprise Capabilities,Director of Data Operations,Lead Delivery Mgr (Data),Exec Sponsor (Data),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,72.0,2020000.0,1381680.0,2020000.0,3636000.0,ON_TRACK,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,LOW,INIT-031,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-032 (Data - Enterprise Metadata Catalog Phase 3) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-032
INIT-033,AI - Automated Document Processing Phase 1,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Programme,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,73.0,2055000.0,1425142.5,2055000.0,3699000.0,ON_TRACK,Expected efficiency gains and risk reduction from Automated Document Processing.,LOW,INIT-999,False,Production Deployment,2025-06-30,EXCEPTIONS_FOUND,Initiative INIT-033 (AI - Automated Document Processing Phase 1) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-033
INIT-034,Cyber Security - Vulnerability Management System Phase 2,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Project,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,74.0,2090000.0,1469270.0,2090000.0,3762000.0,ON_TRACK,Expected efficiency gains and risk reduction from Vulnerability Management System.,LOW,INIT-033,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-034 (Cyber Security - Vulnerability Management System Phase 2) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-034
INIT-035,Fraud Prevention - Card Fraud Scoring Model Phase 3,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Programme,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,75.0,2125000.0,1514062.5,2125000.0,3825000.0,ON_TRACK,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,LOW,INIT-034,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-035 (Fraud Prevention - Card Fraud Scoring Model Phase 3) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-035
INIT-036,Technology - API Gateway Modernisation Phase 1,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Project,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Active,Completed,High,AMBER,MEDIUM,2025-01-15,2025-11-30,2025-03-20,66.0,2240000.0,2464000.0,2508800.0,4032000.0,ON_TRACK,Expected efficiency gains and risk reduction from API Gateway Modernisation.,MEDIUM,INIT-035,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-036 (Technology - API Gateway Modernisation Phase 1) is currently Active with AMBER status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-036
INIT-037,Data - Enterprise Metadata Catalog Phase 2,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Programme,Scale Data Enterprise Capabilities,Director of Data Operations,Lead Delivery Mgr (Data),Exec Sponsor (Data),Approved,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,5.0,1675000.0,15000.0,1675000.0,3015000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,LOW,INIT-036,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-037 (Data - Enterprise Metadata Catalog Phase 2) is currently Approved with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-037
INIT-038,AI - Automated Document Processing Phase 3,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Project,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Approved,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,5.0,1700000.0,15000.0,1700000.0,3060000.0,NOT_DEFINED,Expected efficiency gains and risk reduction from Automated Document Processing.,LOW,INIT-037,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-038 (AI - Automated Document Processing Phase 3) is currently Approved with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-038
