Requirement ID,Role Capability,Research Source,Design Decision,Source File,Generated Artefact,Test ID,Test Result,Verification Evidence,Status
REQ-022,Clear executive-ready content,SRC-002,DES-010,src/outputs/one_page_view.py,outputs/samples/one_page_view.html,TEST-051..055,PASSED,tests/test_pipeline.py,VERIFIED
REQ-023,Jira-style structured data,SRC-001,DES-015,src/importers/csv_importer.py,data/synthetic/initiatives.csv,TEST-001..005,PASSED,tests/test_importers.py,VERIFIED
REQ-024,Excel-compatible outputs,SRC-005,DES-007,src/outputs/excel_workbook.py,outputs/samples/portfolio_workbook.csv,TEST-056..060,PASSED,tests/test_excel_output.py,VERIFIED
REQ-025,PowerPoint outputs,SRC-005,DES-007,src/outputs/pptx_pack.py,outputs/samples/governance_pack.pptx.txt,TEST-061..065,PASSED,tests/test_pptx_output.py,VERIFIED
REQ-026,Data validation and reconciliation,SRC-001,DES-014,src/validation/engine.py,outputs/samples/data_quality_report.html,TEST-010..020,PASSED,tests/test_validation.py,VERIFIED
REQ-027,SharePoint/Teams guidance,SRC-006,DES-015,docs/SHAREPOINT_GUIDANCE.md,docs/SHAREPOINT_GUIDANCE.md,N/A,PASSED,Doc Review,VERIFIED
REQ-028,Process streamlining,SRC-001,DES-008,Makefile,Makefile,TEST-051,PASSED,tests/test_pipeline.py,VERIFIED
REQ-029,Data-quality improvement,SRC-001,DES-014,src/validation/engine.py,outputs/samples/data_quality_report.html,TEST-010..020,PASSED,tests/test_validation.py,VERIFIED
REQ-030,Reporting standardisation,SRC-002,DES-007 DES-012,templates/,templates/one_page_view.html,TEST-051..055,PASSED,tests/test_pipeline.py,VERIFIED
REQ-031,Reduction of manual effort,SRC-001,DES-008,scripts/generate_all.py,scripts/generate_all.py,TEST-051,PASSED,tests/test_pipeline.py,VERIFIED
REQ-032,PMO standards and templates,SRC-001,DES-012,templates/,templates/prompts/portfolio_summary.txt,TEST-041,PASSED,tests/test_ai_adapter.py,VERIFIED
REQ-033,Company-neutral boundary,SRC-007,N/A,docs/PORTFOLIO_WORDING_GUIDE.md,README.md,TEST-076,PASSED,tests/test_security.py,VERIFIED
REQ-034,Synthetic data only,SRC-007,N/A,data/synthetic/README.md,data/synthetic/README.md,TEST-076,PASSED,tests/test_security.py,VERIFIED
REQ-035,No paid services,SRC-007,N/A,pyproject.toml,pyproject.toml,TEST-077,PASSED,tests/test_security.py,VERIFIED
REQ-036,No credentials required,SRC-007,DES-003 DES-015,src/ai/fallback.py,src/ai/fallback.py,TEST-078,PASSED,tests/test_security.py,VERIFIED
REQ-037,Deterministic offline fallback,SRC-007,DES-003,src/ai/fallback.py,src/ai/fallback.py,TEST-041..045,PASSED,tests/test_ai_adapter.py,VERIFIED
REQ-038,Optional AI adapter,SRC-007,DES-004,src/ai/adapter.py,src/ai/adapter.py,TEST-041,PASSED,tests/test_ai_adapter.py,VERIFIED
REQ-039,No secrets stored,SRC-007,N/A,.gitignore,.gitignore,TEST-079,PASSED,tests/test_security.py,VERIFIED
REQ-040,Honest positioning,SRC-007,N/A,career/honest-claims-boundary.md,career/honest-claims-boundary.md,N/A,PASSED,Doc Review,VERIFIED
REQ-041,Support Tech Data AI Cyber Fraud,SRC-001,DES-013,data/synthetic/initiatives.csv,data/synthetic/initiatives.csv,TEST-001,PASSED,tests/test_importers.py,VERIFIED
